wall_time_ns,elapsed_s,gpu_index,physical_gpu_index,gpu_uuid,gpu_name,utilization_gpu_pct,utilization_mem_pct,memory_used_mb,memory_free_mb,memory_total_mb,memory_used_pct,power_w
1788255202966949892,7.421450,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,44,23,55617.00,26303.00,81920.00,67.8918,160.07
1788255203190196749,7.644697,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255203190196749,7.644697,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,33,19,55617.00,26303.00,81920.00,67.8918,143.87
1788255203399488306,7.853989,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255203399488306,7.853989,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,27,15,55617.00,26303.00,81920.00,67.8918,146.14
1788255203606253652,8.060754,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57268.38,24651.62,81920.00,69.9077,86.04
1788255203606253652,8.060754,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,27,15,55617.00,26303.00,81920.00,67.8918,101.92
1788255204399010385,8.853511,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,36,9,57342.38,24577.62,81920.00,69.9980,114.64
1788255204399010385,8.853511,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,13,0,56657.00,25263.00,81920.00,69.1614,104.62
1788255205109478162,9.563979,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,113.01
1788255205109478162,9.563979,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,70,57,56657.00,25263.00,81920.00,69.1614,265.92
1788255205316714858,9.771215,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,113.01
1788255205316714858,9.771215,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,74,61,56657.00,25263.00,81920.00,69.1614,261.72
1788255205523508683,9.978009,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,113.01
1788255205523508683,9.978009,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,74,62,56657.00,25263.00,81920.00,69.1614,254.24
1788255205731910395,10.186411,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,113.01
1788255205731910395,10.186411,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,74,61,56657.00,25263.00,81920.00,69.1614,249.46
1788255205943568849,10.398069,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,113.01
1788255205943568849,10.398069,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,71,59,56657.00,25263.00,81920.00,69.1614,277.00
1788255206150576629,10.605078,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255206150576629,10.605078,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,73,61,56657.00,25263.00,81920.00,69.1614,274.31
1788255206362638905,10.817139,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255206362638905,10.817139,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,67,56,56657.00,25263.00,81920.00,69.1614,272.80
1788255206569235146,11.023736,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255206569235146,11.023736,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,61,51,56657.00,25263.00,81920.00,69.1614,203.25
1788255206777505540,11.232006,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255206777505540,11.232006,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,56,46,56657.00,25263.00,81920.00,69.1614,248.54
1788255206987864030,11.442364,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255206987864030,11.442364,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,53,44,56657.00,25263.00,81920.00,69.1614,252.74
1788255207194422226,11.648922,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255207194422226,11.648922,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,53,44,56657.00,25263.00,81920.00,69.1614,179.84
1788255207409549886,11.864050,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255207409549886,11.864050,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,64,53,56657.00,25263.00,81920.00,69.1614,246.18
1788255207617093713,12.071594,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255207617093713,12.071594,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,67,56,56657.00,25263.00,81920.00,69.1614,238.06
1788255207823947406,12.278448,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255207823947406,12.278448,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,64,53,56657.00,25263.00,81920.00,69.1614,218.91
1788255208030930938,12.485431,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255208030930938,12.485431,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,65,54,56657.00,25263.00,81920.00,69.1614,214.12
1788255208237381217,12.691882,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
